Z[m],d[m],Q[mL/min],e[-],CA0[g/L],CB0[g/L],Vinject[uL],t[s],C[g/L]
0.25,0.01,1,0.397,250,250,100000,0,1.03602
,,,,,,,25,-1.55833
,,,,,,,50,-1.12354
,,,,,,,75,3.38587
,,,,,,,100,4.83819
,,,,,,,125,0.341126
,,,,,,,150,1.62811
,,,,,,,175,0.987885
,,,,,,,200,1.55052
,,,,,,,225,-2.63053
,,,,,,,250,-2.27107
,,,,,,,275,-6.46133
,,,,,,,300,1.90389
,,,,,,,325,2.39243
,,,,,,,350,-4.39198
,,,,,,,375,-2.60456
,,,,,,,400,0.404995
,,,,,,,425,1.57567
,,,,,,,450,2.98811
,,,,,,,475,0.25532
,,,,,,,500,11.6304
,,,,,,,525,23.0016
,,,,,,,550,34.4828
,,,,,,,575,52.0476
,,,,,,,600,77.9423
,,,,,,,625,99.1508
,,,,,,,650,118.282
,,,,,,,675,142.21
,,,,,,,700,169.152
,,,,,,,725,190.987
,,,,,,,750,208.255
,,,,,,,775,235.22
,,,,,,,800,250.455
,,,,,,,825,269.883
,,,,,,,850,289.464
,,,,,,,875,308.373
,,,,,,,900,328.119
,,,,,,,925,337.778
,,,,,,,950,355.718
,,,,,,,975,367.979
,,,,,,,1000,378.954
,,,,,,,1025,393.805
,,,,,,,1050,405.66
,,,,,,,1075,409.931
,,,,,,,1100,421.829
,,,,,,,1125,432.88
,,,,,,,1150,440.529
,,,,,,,1175,446.174
,,,,,,,1200,452.84
,,,,,,,1225,460.062
,,,,,,,1250,463.725
,,,,,,,1275,464.683
,,,,,,,1300,473.009
,,,,,,,1325,479.309
,,,,,,,1350,479.989
,,,,,,,1375,481.516
,,,,,,,1400,483.87
,,,,,,,1425,483.591
,,,,,,,1450,488.967
,,,,,,,1475,486.986
,,,,,,,1500,495.677
,,,,,,,1525,495.238
,,,,,,,1550,492.57
,,,,,,,1575,494.283
,,,,,,,1600,495.013
,,,,,,,1625,494.667
,,,,,,,1650,497.699
,,,,,,,1675,496.188
,,,,,,,1700,492.775
,,,,,,,1725,498.273
,,,,,,,1750,501.042
,,,,,,,1775,494.721
,,,,,,,1800,501.966
,,,,,,,1825,501.183
,,,,,,,1850,496.823
,,,,,,,1875,496.294
,,,,,,,1900,502.702
,,,,,,,1925,494.155
,,,,,,,1950,499.547
,,,,,,,1975,498.559
,,,,,,,2000,502.057
,,,,,,,2025,499.946
,,,,,,,2050,501.095
,,,,,,,2075,497.532
,,,,,,,2100,503.131
,,,,,,,2125,498.777
,,,,,,,2150,504.1
,,,,,,,2175,500.789
,,,,,,,2200,500.064
,,,,,,,2225,500.246
,,,,,,,2250,497.048
,,,,,,,2275,498.92
,,,,,,,2300,500.094
,,,,,,,2325,498.424
,,,,,,,2350,498.219
,,,,,,,2375,498.999
,,,,,,,2400,500.362
,,,,,,,2425,499.93
,,,,,,,2450,502.803
,,,,,,,2475,496.261
