Z[m],d[m],Q[mL/min],e[-],CA0[g/L],CB0[g/L],Vinject[uL],t[s],Ca[g/L],Cb[g/L]
0.25,0.01,1,0.397,250,250,100000,0,-0.113293,0.534409
,,,,,,,25,-2.0985,-1.64282
,,,,,,,50,-1.35776,0.411736
,,,,,,,75,-0.98805,0.0788012
,,,,,,,100,0.869416,-0.728018
,,,,,,,125,-1.86758,-3.754
,,,,,,,150,-0.598874,-0.14027
,,,,,,,175,-0.269079,0.366087
,,,,,,,200,-0.557029,2.43192
,,,,,,,225,-1.34248,0.449467
,,,,,,,250,-0.583682,-0.618885
,,,,,,,275,-1.078,-1.06445
,,,,,,,300,-1.41502,-0.0918815
,,,,,,,325,1.29184,0.190831
,,,,,,,350,0.808512,0.744012
,,,,,,,375,-1.12847,-0.554536
,,,,,,,400,-0.821756,-1.6034
,,,,,,,425,0.346841,-1.61281
,,,,,,,450,0.847729,-0.74997
,,,,,,,475,2.59685,1.51145
,,,,,,,500,9.08324,-0.0381325
,,,,,,,525,19.2983,0.363507
,,,,,,,550,32.132,3.17405
,,,,,,,575,48.1461,8.31276
,,,,,,,600,64.4668,11.3466
,,,,,,,625,81.6221,13.8054
,,,,,,,650,98.2556,22.6049
,,,,,,,675,113.525,28.0277
,,,,,,,700,127.739,35.505
,,,,,,,725,141.801,46.036
,,,,,,,750,154.81,55.9041
,,,,,,,775,164.742,66.2968
,,,,,,,800,175.388,78.269
,,,,,,,825,182.333,91.129
,,,,,,,850,191.822,98.45
,,,,,,,875,197.332,109.039
,,,,,,,900,206.667,120.472
,,,,,,,925,210.484,128.472
,,,,,,,950,216.825,137.275
,,,,,,,975,218.333,147.64
,,,,,,,1000,222.476,158.343
,,,,,,,1025,226.459,164.866
,,,,,,,1050,228.023,172.14
,,,,,,,1075,231.295,182.131
,,,,,,,1100,234.706,188.885
,,,,,,,1125,236.949,193.981
,,,,,,,1150,240.069,200.178
,,,,,,,1175,240.95,204.716
,,,,,,,1200,241.881,209.424
,,,,,,,1225,242.457,214.878
,,,,,,,1250,241.746,220.14
,,,,,,,1275,242.706,224.113
,,,,,,,1300,243.253,226.357
,,,,,,,1325,245.803,224.834
,,,,,,,1350,246.344,230.464
,,,,,,,1375,246.716,231.768
,,,,,,,1400,245.909,239.467
,,,,,,,1425,249.41,240.39
,,,,,,,1450,246.472,240.326
,,,,,,,1475,248.338,241.268
,,,,,,,1500,246.879,243.168
,,,,,,,1525,250.677,243.83
,,,,,,,1550,249.951,244.608
,,,,,,,1575,250.752,245.494
,,,,,,,1600,248.445,244.517
,,,,,,,1625,252.09,247.482
,,,,,,,1650,248.476,247.53
,,,,,,,1675,250.928,245.664
,,,,,,,1700,250.151,248.354
,,,,,,,1725,250.653,248.972
,,,,,,,1750,250.862,249.077
,,,,,,,1775,250.378,249.715
,,,,,,,1800,250.457,248.794
,,,,,,,1825,247.556,248.34
,,,,,,,1850,249.791,250.354
,,,,,,,1875,250.561,251.354
,,,,,,,1900,251.315,248.345
,,,,,,,1925,251.342,249.059
,,,,,,,1950,248.883,249.645
,,,,,,,1975,252.108,250.408
,,,,,,,2000,250.76,251.855
,,,,,,,2025,251.691,248.342
,,,,,,,2050,248.389,248.778
,,,,,,,2075,250.753,248.372
,,,,,,,2100,251.501,251.059
,,,,,,,2125,249.123,249.987
,,,,,,,2150,248.61,252.922
,,,,,,,2175,247.596,250.838
,,,,,,,2200,249.457,250.789
,,,,,,,2225,250.3,247.925
,,,,,,,2250,250.977,248.957
,,,,,,,2275,248.028,251.557
,,,,,,,2300,249.64,250.463
,,,,,,,2325,249.412,251.303
,,,,,,,2350,250.724,250.954
,,,,,,,2375,249.039,249.201
,,,,,,,2400,251.538,250.868
,,,,,,,2425,250.184,248.388
,,,,,,,2450,252,250.027
,,,,,,,2475,249.806,249.244
